RV Type,Manufacturer,Model Name,Trim,Leveling System,Year,Product,Pack,URL,Product Handle,SKU,Notes,Status,Status
Class A,Airstream,Land Yacht,396XL,Power Gear,2005,PRIME,4 Pack,https://rvsnappad.com/collections/prime/products/prime-4-pack,prime-4-pack,PRSP4,,Sale,
Class A,Alfa,Founder,38',Kwikee/Power Gear,2005,PRIME,4 Pack,https://rvsnappad.com/collections/prime/products/prime-4-pack,prime-4-pack,PRSP4,,,
Fifth Wheel,Alfa,Gold,3805BH,LCI/Lippert,2014,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,Sale,
Class A,Alfa,Gold,40',HWH/Atwood,2007,HiWay 10,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-10-4-pack,hiway-10-4-pack,HI10SP4,,,
Class A,Alfa,See Ya,36',Power Gear,2003,PRIME,4 Pack,https://rvsnappad.com/collections/prime/products/prime-4-pack,prime-4-pack,PRSP4,,,
Class A,Alfa,See Ya,36',Kwikee/Power Gear,2003,PRIME,4 Pack,https://rvsnappad.com/collections/prime/products/prime-4-pack,prime-4-pack,PRSP4,,,
Class A,Alfa,See Ya,40',HWH/Atwood,2007,,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-10-4-pack,hiway-10-4-pack,HI10SP4,,,
Class A,Alfa,See Ya,40',HWH/Atwood,2008,2008,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-10-4-pack,hiway-10-4-pack,HI10SP4,,,
Class A,American Coach,American Dream,40DDS,40DDS,2001,PRIME,3 Pack,https://rvsnappad.com/collections/prime/products/prime-3-pack,prime-3-pack,PRSP3,,,
Class A,American Coach,American Dream,42G,Power Gear,2017,PRIME,4 Pack,https://rvsnappad.com/collections/prime/products/prime-4-pack,prime-4-pack,PRSP4,,,
Class A,American Coach,American Dream,45T,Power Gear,2017,PRIME,4 Pack,https://rvsnappad.com/collections/prime/products/prime-4-pack,prime-4-pack,PRSP4,,,
Class A,American Coach,American Eagle,40EVS,Power Gear,1999,PRIME,3 Pack,https://rvsnappad.com/collections/prime/products/prime-3-pack,prime-3-pack,PRSP3,,Sale,
Class A,American Coach,American Eagle,40Q,Power Gear,2003,PRIME,3 Pack,https://rvsnappad.com/collections/prime/products/prime-3-pack,prime-3-pack,PRSP3,,Sale,
Class A,American Coach,American Eagle,American Eagle,Power Gear,Power Gear,PRIME,4 Pack,https://rvsnappad.com/collections/prime/products/prime-4-pack,prime-4-pack,PRSP4,,Sale,
